policy,m,d,n,c,nm,mk,hr,cs,px,tv,mc,chg,dig,risk,cl,wick,body,pat,th,br,rank,fol,fturn,dir,fresh,estr,evt,evidence_at,audit,neg,ask,bid,spr,mode,open,high,low,exit,known,next_open_price,next_high_price,next_low_price,next_close_price,historical_alerts_verified,theme_membership_asof,candidate_kind,valid,safe,vol20,mom20,score_gap_ridge,score_utility_ridge,score_win_loss_ridge,score_stop_ridge,weight,route,net_return_pct
balanced,2024-01,2024-01-02,2024-01-03,222800,심텍,KOSDAQ,False,True,42200.0,87684805800.0,1602526208651.3994,9.610389610389603,0.7910909473279037,0.0981042654028436,0.9487179487179488,0.0512820512820512,0.935897435897436,100.0,온디바이스 AI,0.9523809523809524,5.0,2.0,261183613710.0,0.0,0.0,,,,False,False,,,,DAILY_PROXY,-2.6066350710900466,0.2369668246445577,-4.739336492891,0.1184834123222788,True,41100.0,42300.0,40200.0,42250.0,False,False,RETROSPECTIVE_PROXY,True,True,1.9496916897372474,0.26041666666667407,-0.1994700666692895,-0.3903025754807903,0.5625731785108212,-0.8446009356887613,1.0,primary,-0.1815165876777212
balanced,2024-01,2024-01-05,2024-01-08,117730,티로보틱스,KOSDAQ,False,True,21400.0,157553904800.0,482679847908.7453,21.867881548974943,3.2623092405350205,0.1233644859813084,0.7666666666666667,0.2333333333333333,0.64,65.0,지능형로봇/인공지능(AI),0.78,2.0,2.0,281730530355.0,0.0,0.0,,,,False,False,,,,DAILY_PROXY,-4.2056074766355085,-2.10280373831776,-7.850467289719631,-4.672897196261683,True,20500.0,20950.0,19720.0,20400.0,False,False,RETROSPECTIVE_PROXY,True,True,2.2158293003967726,-17.169811320754715,1.487846787004389,0.8331902677599309,0.5102825641242499,0.7955724777233515,1.0,backup,-4.972897196261683
balanced,2024-01,2024-01-11,2024-01-12,005930,삼성전자,KOSPI,False,True,73200.0,4223000671200.0,427947598590998.06,-0.5434782608695676,2.084178747302964,0.0352459016393442,0.5555555555555556,0.4444444444444444,0.3333333333333333,65.0,NFT(대체불가토큰),0.9444444444444444,18.0,2.0,246337948057.5,0.0,0.0,,,,False,False,,,,DAILY_PROXY,-0.2732240437158473,1.2295081967213184,-0.5464480874316946,-0.1366120218579181,True,73000.0,74100.0,72800.0,73100.0,False,False,RETROSPECTIVE_PROXY,True,True,1.316902534682615,1.377410468319562,1.0452907173330865,-0.1407897704509537,0.5249013935923336,0.7277433918577305,1.0,backup,0.45
balanced,2024-01,2024-01-12,2024-01-15,011200,HMM,KOSPI,False,True,20650.0,176701760900.0,19477904038004.75,5.410923940786105,0.1525902112055398,0.1878450363196125,0.5769230769230769,0.4230769230769231,0.1923076923076923,90.0,해운,1.0,3.0,2.0,605373221530.0,0.0,0.0,,,,False,False,,,,DAILY_PROXY,2.1791767554479424,2.421307506053272,-2.421307506053272,-0.2421307506053294,True,21100.0,21150.0,20150.0,20600.0,False,False,RETROSPECTIVE_PROXY,True,True,6.861781365600257,24.777070063694275,0.8846601973084978,0.6378817795352298,0.6350120687002652,-0.02498581639564657,1.0,backup,1.8791767554479424
balanced,2024-01,2024-01-18,2024-01-19,371950,풍원정밀,KOSDAQ,False,True,7690.0,26190771180.0,175095384615.3846,23.63344051446945,1.6483834598379643,0.1110533159947984,0.7967032967032966,0.2032967032967033,0.7967032967032966,80.0,OLED(유기 발광 다이오드),0.6575342465753424,2.0,2.0,44196563140.0,0.0,0.0,,,,False,False,,,,DAILY_PROXY,-4.551365409622887,2.990897269180759,-4.681404421326397,-4.551365409622887,True,7340.0,7920.0,7330.0,7340.0,False,False,RETROSPECTIVE_PROXY,True,True,2.5248879468654635,-5.182926829268297,1.5076075869035095,1.3759303112557657,0.6413227217073232,0.7341343854585759,1.0,backup,0.45
balanced,2024-01,2024-01-19,2024-01-22,080220,제주반도체,KOSDAQ,False,True,26250.0,1007293061250.0,904126044568.2452,23.529411764705888,1.4345412337134409,0.2096,0.8613861386138614,0.1386138613861386,0.6138613861386139,100.0,온디바이스 AI,1.0,1.0,2.0,167739379075.0,0.0,0.0,,,,False,False,,,,DAILY_PROXY,6.285714285714295,20.380952380952387,4.9523809523809526,16.952380952380963,True,27900.0,31600.0,27550.0,30700.0,False,False,RETROSPECTIVE_PROXY,True,True,6.93436615968541,70.95736122284795,1.4666426825563104,0.471044911351227,0.4065547591947988,0.6629217016135371,1.0,backup,5.9857142857142955
balanced,2024-01,2024-01-25,2024-01-26,451220,아이엠티,KOSDAQ,False,True,24100.0,160460210000.0,189667870036.1011,25.25987525987525,3.007349597917871,0.1996680497925311,0.8163265306122449,0.1836734693877551,0.5408163265306123,100.0,HBM(고대역폭메모리),0.4545454545454545,1.0,2.0,616304301895.0,0.0,0.0,,,,False,False,,,,DAILY_PROXY,-5.809128630705396,-2.904564315352698,-10.995850622406644,-9.33609958506224,True,22700.0,23400.0,21450.0,21850.0,False,False,RETROSPECTIVE_PROXY,True,True,3.541160463779739,6.770255271920078,1.4156622230890552,0.9405978580902347,0.5329038898379614,0.634103148136809,1.0,backup,-9.63609958506224
balanced,2024-01,2024-01-26,2024-01-29,086520,에코프로,KOSDAQ,False,True,105165.0,313721287110.0,14278956553398.06,9.27596167833913,0.1549943867553156,0.0464508153853468,0.9334012911994564,0.0665987088005436,0.8833673122663949,65.0,2차전지(나트륨이온),0.875,1.0,2.0,531472840377.0,0.0,0.0,,,,False,False,,,,DAILY_PROXY,1.6783150287643211,1.8656397090286656,-3.358531830932343,-2.7984595635429987,True,106930.0,107127.0,101633.0,102222.0,False,False,RETROSPECTIVE_PROXY,True,True,2.7398380056595624,-23.598199471273308,0.5614354054460537,0.08078030796914154,0.5586532053632268,0.07721077308095359,1.0,primary,1.378315028764321
balanced,2024-02,2024-02-01,2024-02-02,000270,기아,KOSPI,False,True,106300.0,398738422100.0,41500864505928.85,3.3041788143828965,1.041100554837825,0.1109125117591721,0.903846153846154,0.0961538461538461,0.6730769230769231,80.0,자동차 대표주,1.0,4.0,2.0,141369822450.0,0.0,0.0,,,,False,False,,,,DAILY_PROXY,3.480714957666975,12.793979303857018,2.257761053621832,12.41768579492004,True,110000.0,119900.0,108700.0,119500.0,False,False,RETROSPECTIVE_PROXY,True,True,2.5847899450082537,9.701492537313428,0.853852523662312,0.1425874607819882,0.4864641665968228,0.22179056592819202,1.0,backup,3.180714957666975
balanced,2024-02,2024-02-02,2024-02-05,035420,NAVER,KOSPI,False,True,221500.0,407892471500.0,33684910772833.72,9.382716049382722,1.0481121740801322,0.0517336343115124,1.0,0.0,0.8888888888888888,75.0,음성인식,0.9090909090909092,1.0,2.0,152654363200.0,0.0,0.0,,,,False,False,,,,DAILY_PROXY,-0.4514672686230292,0.0,-6.094808126410833,-6.094808126410833,True,220500.0,221500.0,208000.0,208000.0,False,False,RETROSPECTIVE_PROXY,True,True,1.8277459041103457,-9.192825112107627,0.5833998380695145,-0.12950195528665828,0.4746267842101619,-0.017959229875176563,1.0,primary,-6.394808126410833
